source_batch,source_filename,output_filename,status,note
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_27_12 PM (1).png",ce-phone-cases-catalog-3x2.webp,installed,VectorLink PC-X751X Core; content-verified moulded case with camera cutout
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_27_12 PM (2).png",ce-cables-adapters-catalog-3x2.webp,installed,"SonicWave C&A-A165P Pro; content-verified braided cable coil plus dual-port adapter"
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_27_13 PM (3).png",ce-mirrorless-cameras-catalog-3x2.webp,installed,"NexaAudio MC-S707P Tour; content-verified body with viewfinder hump, distinct from action camera"
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_27_13 PM (4).png",ce-action-cameras-catalog-3x2.webp,installed,ZenithAudio AC-R500S Air; content-verified rugged compact body with wide lens
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_27_13 PM (5).png",ce-camera-lenses-catalog-3x2.webp,installed,PrismEdge CL-P949X Tour; content-verified standalone lens barrel with focus ring
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_27_14 PM (6).png",ce-photo-printers-catalog-3x2.webp,installed,AuriOne PP-F119 Pro; content-verified printer with photo emerging from tray
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_27_14 PM (7).png",ce-gimbals-catalog-3x2.webp,installed,ZenithOne G-F718P Essential; content-verified 3-axis handheld stabiliser
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_27_14 PM (8).png",ce-digital-binoculars-catalog-3x2.webp,installed,VeroCore DB-P784 Pro; content-verified twin-barrel binocular with control pad
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_27_15 PM (9).png",ce-racing-wheels-catalog-3x2.webp,installed,VectorWave RW-A176X Max; content-verified sim wheel rim with paddle shifters
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_27_15 PM (10).png",ce-handheld-consoles-catalog-3x2.webp,installed,HaloGrid HC-R167P Ultra; content-verified handheld with dual sticks and d-pad
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_33_30 PM (1).png",ce-power-banks-catalog-3x2.webp,installed,HaloEdge PB-E893S Max; content-verified slab battery with charge pips
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_33_30 PM (2).png",ce-ar-glasses-catalog-3x2.webp,installed,LumaOne AG-E726 Edge; content-verified glasses with temple sensors and camera
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_33_31 PM (3).png",ce-mesh-wi-fi-systems-catalog-3x2.webp,installed,"SonicOne MWS-N491X Flex Navy; content-verified three-node navy set, matches Navy in title"
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_33_31 PM (4).png",ce-network-switches-catalog-3x2.webp,installed,HaloVision NS-P563P Prime; content-verified rack-style switch with 8 RJ45 ports and SFP cages
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_33_31 PM (5).png",ce-mobile-hotspots-catalog-3x2.webp,installed,"FluxForge MH-Z197 Air; content-verified pocket hotspot with status glyph display, no text"
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_33_31 PM (6).png",ce-range-extenders-catalog-3x2.webp,installed,"AxionTech RE-C464X Air; content-verified wall-plug unit with twin antennas, distinct from hotspot"
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_33_32 PM (7).png",ce-security-cameras-catalog-3x2.webp,installed,NexaGrid SC-N133S Air; content-verified pan-tilt dome camera on base
chatgpt-2026-08-09-ce-b02,"ChatGPT Image Aug 9, 2026, 08_33_32 PM (8).png",ce-home-hubs-catalog-3x2.webp,installed,VectorPulse HH-F206 Essential; content-verified fabric-domed speaker hub
